,guest_id,review_score,comments
0,13666,5,Review comment 1
1,216451,3,Review comment 2
2,218957,1,Review comment 3
3,245373,2,Review comment 4
4,5213,4,Review comment 5
5,181091,3,Review comment 6
6,158939,2,Review comment 7
7,265614,5,Review comment 8
8,243432,3,Review comment 9
9,44398,5,Review comment 10
10,189857,5,Review comment 11
11,17981,5,Review comment 12
12,224016,5,Review comment 13
13,49245,3,Review comment 14
14,67194,4,Review comment 15
15,178452,3,Review comment 16
16,295103,1,Review comment 17
17,155090,5,Review comment 18
18,141386,3,Review comment 19
19,182473,5,Review comment 20
20,268996,4,Review comment 21
21,271881,4,Review comment 22
22,212893,5,Review comment 23
23,193228,4,Review comment 24
24,1516,5,Review comment 25
25,86995,5,Review comment 26
26,262349,3,Review comment 27
27,199785,5,Review comment 28
28,1416,5,Review comment 29
29,15122,5,Review comment 30
30,173598,4,Review comment 31
31,236011,3,Review comment 32
32,29534,3,Review comment 33
33,159434,5,Review comment 34
34,137441,4,Review comment 35
35,153698,1,Review comment 36
36,13693,5,Review comment 37
37,91184,2,Review comment 38
38,118347,4,Review comment 39
39,152184,5,Review comment 40
40,134244,5,Review comment 41
41,144600,2,Review comment 42
42,6596,4,Review comment 43
43,288750,5,Review comment 44
44,115981,4,Review comment 45
45,182065,3,Review comment 46
46,299824,3,Review comment 47
47,55040,5,Review comment 48
48,154892,2,Review comment 49
49,78041,4,Review comment 50
50,206869,2,Review comment 51
51,100878,5,Review comment 52
52,161541,2,Review comment 53
53,133057,3,Review comment 54
54,68377,4,Review comment 55
55,269148,4,Review comment 56
56,107220,5,Review comment 57
57,190658,2,Review comment 58
58,187146,5,Review comment 59
59,107591,4,Review comment 60
60,126733,2,Review comment 61
61,37949,1,Review comment 62
62,192958,5,Review comment 63
63,216166,2,Review comment 64
64,171371,4,Review comment 65
65,141702,3,Review comment 66
66,231922,4,Review comment 67
67,157795,5,Review comment 68
68,76411,5,Review comment 69
69,21541,5,Review comment 70
70,212544,3,Review comment 71
71,265586,2,Review comment 72
72,259239,5,Review comment 73
73,162673,3,Review comment 74
74,58842,1,Review comment 75
75,270555,4,Review comment 76
76,179856,5,Review comment 77
77,236833,3,Review comment 78
78,244568,5,Review comment 79
79,215489,5,Review comment 80
80,230494,2,Review comment 81
81,286803,1,Review comment 82
82,159353,4,Review comment 83
83,172937,4,Review comment 84
84,238347,5,Review comment 85
85,263780,3,Review comment 86
86,20568,5,Review comment 87
87,153944,5,Review comment 88
88,294590,4,Review comment 89
89,228441,2,Review comment 90
90,231382,2,Review comment 91
91,255612,3,Review comment 92
92,241612,3,Review comment 93
93,121385,2,Review comment 94
94,75378,5,Review comment 95
95,222666,4,Review comment 96
96,64480,3,Review comment 97
97,66667,1,Review comment 98
98,293893,4,Review comment 99
99,131198,2,Review comment 100
100,168809,3,Review comment 101
101,146885,3,Review comment 102
102,32964,4,Review comment 103
103,242056,4,Review comment 104
104,223717,3,Review comment 105
105,240158,1,Review comment 106
106,291106,1,Review comment 107
107,222264,4,Review comment 108
108,18405,2,Review comment 109
109,285112,4,Review comment 110
110,177657,4,Review comment 111
111,55210,3,Review comment 112
112,17634,4,Review comment 113
113,205710,4,Review comment 114
114,176095,4,Review comment 115
115,4574,3,Review comment 116
116,235115,5,Review comment 117
117,74590,4,Review comment 118
118,282878,4,Review comment 119
119,192354,5,Review comment 120
120,209396,5,Review comment 121
121,138096,3,Review comment 122
122,155116,5,Review comment 123
123,87555,3,Review comment 124
124,13755,4,Review comment 125
125,2589,3,Review comment 126
126,294097,2,Review comment 127
127,33058,3,Review comment 128
128,80950,3,Review comment 129
129,168296,1,Review comment 130
130,193125,1,Review comment 131
131,221701,3,Review comment 132
132,179921,1,Review comment 133
133,206433,2,Review comment 134
134,2009,5,Review comment 135
135,70558,2,Review comment 136
136,99595,5,Review comment 137
137,148510,5,Review comment 138
138,233768,4,Review comment 139
139,89770,3,Review comment 140
140,240755,5,Review comment 141
141,125498,4,Review comment 142
142,167553,4,Review comment 143
143,195868,3,Review comment 144
144,113189,3,Review comment 145
145,57408,4,Review comment 146
146,19891,2,Review comment 147
147,148790,3,Review comment 148
148,159444,5,Review comment 149
149,100886,3,Review comment 150
150,88534,5,Review comment 151
151,250570,3,Review comment 152
152,160273,4,Review comment 153
153,107658,4,Review comment 154
154,5345,5,Review comment 155
155,210670,2,Review comment 156
156,295286,5,Review comment 157
157,77824,3,Review comment 158
158,113750,5,Review comment 159
159,263044,4,Review comment 160
160,252566,1,Review comment 161
161,62849,2,Review comment 162
162,279924,3,Review comment 163
163,123204,4,Review comment 164
164,254450,4,Review comment 165
165,149344,2,Review comment 166
166,66889,4,Review comment 167
167,204292,3,Review comment 168
168,121717,3,Review comment 169
