guest_id,review_score,comments
13666,4,Review comment 1
216451,3,Review comment 2
218957,1,Review comment 3
245373,2,Review comment 4
5213,4,Review comment 5
181091,3,Review comment 6
158939,2,Review comment 7
265614,5,Review comment 8
243432,3,Review comment 9
44398,,Review comment 10
189857,5,Review comment 11
17981,5,Review comment 12
224016,5,Review comment 13
49245,3,Review comment 14
67194,4,Review comment 15
178452,4,Review comment 16
295103,1,Review comment 17
155090,5,Review comment 18
141386,3,Review comment 19
182473,5,Review comment 20
268996,4,Review comment 21
271881,4,Review comment 22
212893,5,Review comment 23
193228,5,Review comment 24
1516,,Review comment 25
86995,5,Review comment 26
262349,3,Review comment 27
199785,5,Review comment 28
1416,5,Review comment 29
15122,5,Review comment 30
173598,4,Review comment 31
236011,3,Review comment 32
29534,3,Review comment 33
159434,5,Review comment 34
137441,4,Review comment 35
153698,1,Review comment 36
13693,,Review comment 37
91184,2,Review comment 38
118347,4,Review comment 39
152184,5,Review comment 40
134244,5,Review comment 41
144600,3,Review comment 42
6596,4,Review comment 43
288750,5,Review comment 44
115981,4,Review comment 45
182065,3,Review comment 46
299824,4,Review comment 47
55040,,Review comment 48
154892,3,Review comment 49
78041,4,Review comment 50
206869,2,Review comment 51
100878,,Review comment 52
161541,2,Review comment 53
133057,3,Review comment 54
68377,4,Review comment 55
269148,5,Review comment 56
107220,5,Review comment 57
190658,2,Review comment 58
187146,5,Review comment 59
107591,4,Review comment 60
126733,3,Review comment 61
37949,1,Review comment 62
192958,5,Review comment 63
216166,2,Review comment 64
171371,5,Review comment 65
141702,4,Review comment 66
231922,4,Review comment 67
157795,5,Review comment 68
76411,,Review comment 69
21541,5,Review comment 70
212544,4,Review comment 71
265586,2,Review comment 72
259239,5,Review comment 73
162673,3,Review comment 74
58842,1,Review comment 75
270555,5,Review comment 76
179856,5,Review comment 77
236833,3,Review comment 78
244568,,Review comment 79
215489,5,Review comment 80
230494,2,Review comment 81
286803,1,Review comment 82
159353,5,Review comment 83
172937,4,Review comment 84
238347,5,Review comment 85
263780,3,Review comment 86
20568,,Review comment 87
153944,5,Review comment 88
294590,5,Review comment 89
228441,3,Review comment 90
231382,2,Review comment 91
255612,3,Review comment 92
241612,3,Review comment 93
121385,2,Review comment 94
75378,5,Review comment 95
222666,4,Review comment 96
64480,4,Review comment 97
66667,1,Review comment 98
293893,4,Review comment 99
131198,2,Review comment 100
168809,3,Review comment 101
146885,3,Review comment 102
32964,4,Review comment 103
242056,4,Review comment 104
223717,4,Review comment 105
240158,1,Review comment 106
291106,1,Review comment 107
222264,4,Review comment 108
18405,2,Review comment 109
285112,4,Review comment 110
177657,4,Review comment 111
55210,3,Review comment 112
17634,4,Review comment 113
205710,4,Review comment 114
176095,5,Review comment 115
4574,3,Review comment 116
235115,5,Review comment 117
74590,5,Review comment 118
282878,4,Review comment 119
192354,5,Review comment 120
209396,5,Review comment 121
138096,4,Review comment 122
155116,5,Review comment 123
87555,4,Review comment 124
13755,4,Review comment 125
2589,3,Review comment 126
294097,3,Review comment 127
33058,3,Review comment 128
80950,4,Review comment 129
168296,1,Review comment 130
193125,1,Review comment 131
221701,3,Review comment 132
179921,1,Review comment 133
206433,3,Review comment 134
2009,5,Review comment 135
70558,2,Review comment 136
99595,5,Review comment 137
148510,5,Review comment 138
233768,5,Review comment 139
89770,4,Review comment 140
240755,,Review comment 141
125498,5,Review comment 142
167553,5,Review comment 143
195868,3,Review comment 144
113189,3,Review comment 145
57408,4,Review comment 146
19891,2,Review comment 147
148790,3,Review comment 148
159444,5,Review comment 149
100886,3,Review comment 150
88534,5,Review comment 151
250570,3,Review comment 152
160273,5,Review comment 153
107658,4,Review comment 154
5345,5,Review comment 155
210670,3,Review comment 156
295286,5,Review comment 157
77824,3,Review comment 158
113750,,Review comment 159
263044,4,Review comment 160
252566,1,Review comment 161
62849,3,Review comment 162
279924,3,Review comment 163
123204,4,Review comment 164
254450,4,Review comment 165
149344,2,Review comment 166
66889,4,Review comment 167
204292,3,Review comment 168
121717,3,Review comment 169
198698,3,Review comment 170
219253,2,Review comment 171
75382,1,Review comment 172
97269,1,Review comment 173
115321,4,Review comment 174
286994,1,Review comment 175
203875,5,Review comment 176
55108,5,Review comment 177
59568,5,Review comment 178
167717,5,Review comment 179
247735,3,Review comment 180
223027,5,Review comment 181
165450,4,Review comment 182
89753,5,Review comment 183
260527,1,Review comment 184
13299,4,Review comment 185
123639,3,Review comment 186
26330,4,Review comment 187
83600,3,Review comment 188
236316,3,Review comment 189
194931,5,Review comment 190
169700,5,Review comment 191
8892,4,Review comment 192
167812,4,Review comment 193
215346,5,Review comment 194
88335,4,Review comment 195
208353,3,Review comment 196
152810,4,Review comment 197
99510,4,Review comment 198
26433,,Review comment 199
33333,5,Review comment 200
134004,5,Review comment 201
155374,5,Review comment 202
166913,3,Review comment 203
73295,2,Review comment 204
130185,4,Review comment 205
104989,3,Review comment 206
294961,,Review comment 207
37878,1,Review comment 208
56913,4,Review comment 209
77827,4,Review comment 210
256168,2,Review comment 211
159629,5,Review comment 212
181663,,Review comment 213
202389,1,Review comment 214
173046,5,Review comment 215
255516,5,Review comment 216
116822,4,Review comment 217
294198,4,Review comment 218
20694,3,Review comment 219
215816,4,Review comment 220
269697,4,Review comment 221
131228,2,Review comment 222
75435,3,Review comment 223
186048,5,Review comment 224
213378,1,Review comment 225
187384,3,Review comment 226
92690,5,Review comment 227
96519,4,Review comment 228
51816,4,Review comment 229
139117,4,Review comment 230
288671,2,Review comment 231
97425,3,Review comment 232
127686,,Review comment 233
173972,4,Review comment 234
9962,4,Review comment 235
192028,4,Review comment 236
143254,4,Review comment 237
168864,3,Review comment 238
117070,5,Review comment 239
42042,4,Review comment 240
67975,5,Review comment 241
207336,,Review comment 242
243054,,Review comment 243
9156,2,Review comment 244
97724,2,Review comment 245
18727,5,Review comment 246
77360,5,Review comment 247
23397,,Review comment 248
50838,,Review comment 249
100253,4,Review comment 250
207175,5,Review comment 251
245758,4,Review comment 252
276476,4,Review comment 253
249416,2,Review comment 254
224152,3,Review comment 255
226625,1,Review comment 256
139350,5,Review comment 257
283333,5,Review comment 258
154500,5,Review comment 259
185649,2,Review comment 260
258494,1,Review comment 261
245364,3,Review comment 262
115615,4,Review comment 263
32854,5,Review comment 264
33116,5,Review comment 265
251401,3,Review comment 266
99642,3,Review comment 267
194304,4,Review comment 268
223173,5,Review comment 269
15526,,Review comment 270
238987,3,Review comment 271
163503,4,Review comment 272
127695,5,Review comment 273
82907,3,Review comment 274
144333,5,Review comment 275
72504,5,Review comment 276
206690,1,Review comment 277
280382,5,Review comment 278
114478,5,Review comment 279
275683,3,Review comment 280
211370,4,Review comment 281
26985,5,Review comment 282
2710,5,Review comment 283
4427,2,Review comment 284
75575,3,Review comment 285
174221,5,Review comment 286
157974,1,Review comment 287
298052,2,Review comment 288
298170,2,Review comment 289
178277,4,Review comment 290
2840,,Review comment 291
299501,5,Review comment 292
70097,5,Review comment 293
279224,4,Review comment 294
66102,4,Review comment 295
16865,5,Review comment 296
26000,2,Review comment 297
76057,5,Review comment 298
172976,4,Review comment 299
164936,2,Review comment 300
42000,5,Review comment 301
292803,1,Review comment 302
185038,1,Review comment 303
208856,4,Review comment 304
37982,1,Review comment 305
95250,,Review comment 306
131318,,Review comment 307
84268,4,Review comment 308
46811,,Review comment 309
291353,5,Review comment 310
186588,3,Review comment 311
37813,1,Review comment 312
237538,1,Review comment 313
89923,,Review comment 314
3751,5,Review comment 315
263077,5,Review comment 316
185108,1,Review comment 317
97032,5,Review comment 318
59351,,Review comment 319
208396,5,Review comment 320
275517,5,Review comment 321
254767,4,Review comment 322
51118,1,Review comment 323
296275,5,Review comment 324
107546,5,Review comment 325
2189,3,Review comment 326
146554,3,Review comment 327
261308,4,Review comment 328
98890,4,Review comment 329
88572,2,Review comment 330
50226,4,Review comment 331
87622,3,Review comment 332
196741,4,Review comment 333
110938,2,Review comment 334
149695,3,Review comment 335
84995,2,Review comment 336
16998,4,Review comment 337
192512,2,Review comment 338
278819,2,Review comment 339
261908,3,Review comment 340
69091,4,Review comment 341
99126,4,Review comment 342
179026,1,Review comment 343
77588,3,Review comment 344
294633,3,Review comment 345
208571,5,Review comment 346
48043,3,Review comment 347
185849,5,Review comment 348
181476,2,Review comment 349
68186,5,Review comment 350
174244,4,Review comment 351
129155,5,Review comment 352
242838,1,Review comment 353
230986,5,Review comment 354
270489,4,Review comment 355
256851,,Review comment 356
33066,4,Review comment 357
138857,3,Review comment 358
69230,5,Review comment 359
219795,4,Review comment 360
237967,4,Review comment 361
245843,1,Review comment 362
122603,4,Review comment 363
138039,5,Review comment 364
237847,4,Review comment 365
153247,3,Review comment 366
295577,5,Review comment 367
130063,2,Review comment 368
153447,1,Review comment 369
81243,4,Review comment 370
94288,5,Review comment 371
113749,4,Review comment 372
294608,3,Review comment 373
263480,3,Review comment 374
124034,5,Review comment 375
73913,3,Review comment 376
268221,4,Review comment 377
210876,5,Review comment 378
165641,1,Review comment 379
9436,5,Review comment 380
275423,3,Review comment 381
250221,4,Review comment 382
236697,4,Review comment 383
79781,2,Review comment 384
232243,5,Review comment 385
256401,1,Review comment 386
127145,5,Review comment 387
152024,5,Review comment 388
137682,5,Review comment 389
179841,5,Review comment 390
268067,3,Review comment 391
251047,3,Review comment 392
139749,3,Review comment 393
275053,4,Review comment 394
36464,,Review comment 395
30510,2,Review comment 396
166516,5,Review comment 397
102010,4,Review comment 398
181473,5,Review comment 399
44908,4,Review comment 400
115134,5,Review comment 401
76100,,Review comment 402
48196,4,Review comment 403
73188,4,Review comment 404
222648,4,Review comment 405
230682,4,Review comment 406
83286,1,Review comment 407
54598,5,Review comment 408
118840,1,Review comment 409
286039,5,Review comment 410
237818,4,Review comment 411
240536,4,Review comment 412
284575,3,Review comment 413
27322,3,Review comment 414
266882,5,Review comment 415
275932,3,Review comment 416
174993,5,Review comment 417
100279,5,Review comment 418
291963,,Review comment 419
10388,4,Review comment 420
65,3,Review comment 421
117499,3,Review comment 422
136782,4,Review comment 423
170537,4,Review comment 424
248288,1,Review comment 425
225321,4,Review comment 426
174826,5,Review comment 427
186459,4,Review comment 428
98266,4,Review comment 429
188759,2,Review comment 430
76125,3,Review comment 431
32799,3,Review comment 432
156109,,Review comment 433
141015,5,Review comment 434
246642,5,Review comment 435
224886,5,Review comment 436
28374,5,Review comment 437
227601,5,Review comment 438
92664,4,Review comment 439
111984,3,Review comment 440
194457,5,Review comment 441
80370,,Review comment 442
125372,2,Review comment 443
294575,4,Review comment 444
297865,4,Review comment 445
90823,4,Review comment 446
13309,3,Review comment 447
185915,4,Review comment 448
222475,2,Review comment 449
242304,5,Review comment 450
90198,3,Review comment 451
210506,5,Review comment 452
285419,4,Review comment 453
279354,4,Review comment 454
261918,4,Review comment 455
285786,5,Review comment 456
278039,3,Review comment 457
170754,5,Review comment 458
269912,2,Review comment 459
63547,3,Review comment 460
7505,,Review comment 461
151837,4,Review comment 462
274325,1,Review comment 463
224101,5,Review comment 464
220994,4,Review comment 465
183208,1,Review comment 466
149349,5,Review comment 467
199323,4,Review comment 468
24809,1,Review comment 469
281474,4,Review comment 470
124063,5,Review comment 471
2484,3,Review comment 472
196608,5,Review comment 473
284269,4,Review comment 474
25645,3,Review comment 475
19064,2,Review comment 476
143119,4,Review comment 477
209421,2,Review comment 478
115041,3,Review comment 479
255725,1,Review comment 480
296886,1,Review comment 481
249205,,Review comment 482
164408,1,Review comment 483
25257,4,Review comment 484
98595,4,Review comment 485
243660,3,Review comment 486
49900,4,Review comment 487
167149,5,Review comment 488
